bsu_id,bsu_desc,eco_id,eco_desc,pao_id,pao_desc,spn_id,spn_desc
NA,NA,"phnO","aminoalkylphosphonat","PA3368","acetyltransferase","SP_1023","acetyltransferase"
NA,NA,"mhpD","","hpcG","2-oxo-hept-3-ene-1,7-dioate hydratase",NA,NA
NA,NA,"ycgL","conserved protein","PA1295","orf",NA,NA
NA,NA,"yrfG","purine nucleotidase","PA5177","hydrolase",NA,NA
NA,NA,"clpA","","clpA","ATP-binding protease component ClpA","SP_2194","ATP-dependent Clp protease ATP-binding subunit"
NA,NA,"ygiQ","conserved protein","PA4928","orf",NA,NA
NA,NA,"yejE","peptide ABC transporter - membrane subunit","PA1808","ABC transporter permease",NA,NA
NA,NA,"tesB","","tesB","acyl-CoA thioesterase II",NA,NA
NA,NA,"ybdG","mechanosensitive channel of miniconductance YbdG monomer","PA3468","orf",NA,NA
NA,NA,"adiC","","PA1819","amino acid permease",NA,NA
NA,NA,"uspD","stress protein involved in resistance to UV irradiation",NA,NA,"SP_1996","universal stress protein"
NA,NA,"ampD","N-acetyl-anhydromuramyl-L-alanine-amidase","ampD","N-acetyl-anhydromuranmyl-L-alanine amidase",NA,NA
NA,NA,"gsiC","glutathione ABC transporter - membrane subunit",NA,NA,"SP_1890","oligopeptide ABC transporter permease AmiC"
NA,NA,"rppH","RNA pyrophosphohydrolase","ygdP","dinucleoside polyphosphate hydrolase",NA,NA
NA,NA,"degP","","mucD","serine protease MucD precursor",NA,NA
NA,NA,"glnK","uridylyl-[GlnK]","glnK","nitrogen regulatory protein P-II 2",NA,NA
NA,NA,"yobB","conserved protein","PA4802","orf",NA,NA
NA,NA,"paaI","hydroxyphenylacetyl-CoA thioesterase","PA5202","orf","SP_1851","orf"
NA,NA,"adiA","Adi","ldcA","lysine-specific pyridoxal 5'-phosphate-dependent carboxylase, LdcA",NA,NA
NA,NA,"hflD","lysogenization regulator","PA2627","orf",NA,NA
NA,NA,"xanP","xanthine:","PA0352","transporter",NA,NA
NA,NA,"ygeY","predicted peptidase",NA,NA,"SP_0623","dipeptidase PepV"
NA,NA,"yhhJ","predicted transporter subunit: membrane component of ABC superfamily","PA5230","ABC transporter permease",NA,NA
NA,NA,"mioC","flavoprotein involved in biotin synthesis",NA,NA,"SP_1297","flavodoxin"
NA,NA,"fucA","","PA0224","class II aldolase/adducin domain protein","SP_2166","L-fuculose phosphate aldolase"
NA,NA,"cysU","sulfate / thiosulfate ABC transporter - membrane subunit","cysT","sulfate transporter CysT",NA,NA
NA,NA,"lolE","","PA2988","orf",NA,NA
NA,NA,"yjjU","predicted esterase","PA3241","orf",NA,NA
NA,NA,"yeaM","predicted DNA-binding transcriptional regulator","PA1229","transcriptional regulator",NA,NA
NA,NA,"sbcB","exonuclease I, 3' --&gt; 5' specific; deoxyribophosphodiesterase","sbcB","exonuclease I",NA,NA
NA,NA,"pncC","NMN aminohydrolase","PA3618","orf",NA,NA
NA,NA,"yaiL","nucleoprotein/polynucleotide-associated enzyme","PA0937","orf",NA,NA
NA,NA,"nuoE","NADH:ubiquinone oxidoreductase, chain E","nuoE","NADH dehydrogenase subunit E",NA,NA
NA,NA,"rhlE","ATP-dependent RNA helicase","PA0428","ATP-dependent RNA helicase",NA,NA
NA,NA,"degS","DegS serine endoprotease","algW","AlgW protein",NA,NA
NA,NA,"yebG","conserved protein regulated by LexA","PA3413","orf",NA,NA
NA,NA,"ybbA","","PA2857","ATP-binding component of ABC transporter",NA,NA
NA,NA,"pyrC","","pyrC","dihydroorotase",NA,NA
NA,NA,"aroL","shikimate kinase II",NA,NA,"SP_1370","shikimate kinase"
NA,NA,"scpC","propionyl-CoA:succinate CoA transferase","PA5445","coenzyme A transferase",NA,NA
NA,NA,"nirD","nitrite reductase, small subunit","nirD","assimilatory nitrite reductase small subunit",NA,NA
NA,NA,"mtgA","biosynthetic peptidoglycan transglycosylase","PA0378","monofunctional biosynthetic peptidoglycan transglycosylase",NA,NA
NA,NA,"yggI","conserved protein","PA1189","orf",NA,NA
NA,NA,"ydeP","acid resistance protein","PA5181","oxidoreductase",NA,NA
NA,NA,"nrdA","ribonucleoside diphosphate reductase 1, α subunit","nrdA","ribonucleotide-diphosphate reductase subunit alpha",NA,NA
NA,NA,"yciE","conserved protein","PA2184","orf",NA,NA
NA,NA,"osmY","hyperosmotically inducible periplasmic protein","PA4739","orf",NA,NA
NA,NA,"rnt","","rnt","ribonuclease T",NA,NA
NA,NA,"livK","leucine ABC transporter - periplasmic binding protein","braC","branched-chain amino acid ABC transporter",NA,NA
NA,NA,"yebT","conserved protein","PA4689","orf",NA,NA
NA,NA,"insN-1","CP4-6 prophage; partial regulator of insertion element IS911A","PA0979","orf",NA,NA
NA,NA,"yfaU","2-keto-3-deoxy-L-rhamnonate aldolase","PA4128","orf",NA,NA
NA,NA,"lpxA","","lpxA","UDP-N-acetylglucosamine acyltransferase",NA,NA
NA,NA,"speD","adenosylmethionine decarboxylase, proenzyme","speD","S-adenosylmethionine decarboxylase",NA,NA
NA,NA,"pflB","",NA,NA,"SP_0459","formate acetyltransferase"
NA,NA,"dosC","diguanylate cyclase","PA3177","orf",NA,NA
NA,NA,"tolQ","","tolQ","TolQ protein",NA,NA
NA,NA,"ygiM","predicted signal transduction protein (SH3 domain)","PA4154","orf",NA,NA
NA,NA,"rlmF","23S rRNA ","PA3840","SAM-dependent methyltransferase",NA,NA
NA,NA,"yohD","conserved inner membrane protein","PA5244","orf",NA,NA
NA,NA,"yhaI","predicted inner membrane protein","PA0563","orf",NA,NA
NA,NA,"hemD","uroporphyrinogen III synthase","hemD","uroporphyrinogen-III synthase",NA,NA
NA,NA,"galM","galactose-1-epimerase",NA,NA,"SP_0066","aldose 1-epimerase"
NA,NA,"hflC","regulator of FtsH protease","hflC","protease subunit HflC",NA,NA
NA,NA,"yhbS","predicted acyltransferase with acyl-CoA N-acyltransferase domain","PA0711","orf",NA,NA
NA,NA,"rimK","ribosomal protein S6 modification protein","rimK","ribosomal protein S6 modification protein",NA,NA
NA,NA,"ttcA","predicted C32 tRNA thiolase","PA1192","orf",NA,NA
NA,NA,"fadB","dodecenoyl-CoA δ-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase","faoA","multifunctional fatty acid oxidation complex subunit alpha",NA,NA
NA,NA,"fdhE","formate dehydrogenase formation protein","fdhE","FdhE protein",NA,NA
NA,NA,"can","carbonic anhydrase 2 monomer","PA4676","carbonic anhydrase",NA,NA
NA,NA,"ridA","predicted enamine/imine deaminase","PA5339","orf","SP_1567","endoribonuclease L-PSP"
NA,NA,"yegH","putative transport protein","PA1331","orf",NA,NA
NA,NA,"ygiD","predicted dioxygenase","PA2839","orf",NA,NA
NA,NA,"flgI","flagellar P-ring protein FlgI","flgI","flagellar basal body P-ring protein",NA,NA
NA,NA,"nfrB","bacteriophage N4 receptor, inner membrane subunit","PA3740","orf",NA,NA
NA,NA,"codB","cytosine transporter","codB","cytosine permease",NA,NA
NA,NA,"mlaA","","PA2800","orf",NA,NA
NA,NA,"cvpA","membrane protein required for colicin V production","PA3109","orf",NA,NA
NA,NA,"pncB","nicotinate phosphoribosyltransferase","pncB1","nicotinate phosphoribosyltransferase","SP_1421","nicotinate phosphoribosyltransferase"
NA,NA,"yheU","conserved protein","PA3463","orf",NA,NA
NA,NA,"fnr","","anr","transcriptional regulator Anr",NA,NA
NA,NA,"yoaB","conserved protein","PA5303","orf",NA,NA
NA,NA,"dppC","dipeptide ABC transporter - putative membrane subunit","PA4504","ABC transporter permease",NA,NA
NA,NA,"metR","","metR","transcriptional regulator MetR",NA,NA
NA,NA,"speG","","PA1472","orf","SP_0566","acetyltransferase"
NA,NA,"ccmB","protoheme IX ABC transporter - membrane subunit CcmB","ccmB","heme exporter protein CcmB",NA,NA
NA,NA,"yjaB","predicted acetyltransferase","PA1428","orf","SP_1236","acetyltransferase"
NA,NA,"minC","cell division inhibitor of the MinC-MinD-MinE and DicB-MinC systems that regulate septum placement","minC","septum formation inhibitor",NA,NA
NA,NA,"polB","DNA polymerase II","polB","DNA polymerase II",NA,NA
NA,NA,"rtcB","RNA ligase","PA4583","orf",NA,NA
NA,NA,"gloB","glyoxalase II","PA1813","hydroxyacylglutathione hydrolase",NA,NA
NA,NA,"potF","putrescine ABC transporter - periplasmic binding protein","PA1410","periplasmic spermidine/putrescine-binding protein",NA,NA
NA,NA,"dbpA","ATP-dependent RNA helicase, specific for 23S rRNA","dbpA","ATP-dependent RNA helicase DbpA",NA,NA
NA,NA,"ydhJ","conserved protein","PA3892","orf",NA,NA
NA,NA,"aaeB","hydroxylated, aromatic carboxylic acid efflux transporter - putative membrane subunit","PA3305","orf",NA,NA
NA,NA,"lpoA","outer membrane lipoprotein - activator of PBP1A activity","PA4423","orf",NA,NA
NA,NA,"sdhD","succinate dehydrogenase membrane protein","sdhD","succinate dehydrogenase subunit D",NA,NA
NA,NA,"nrdG","","PA2726","radical activating enzyme","SP_0205","anaerobic ribonucleoside-triphosphate reductase activating protein"
NA,NA,"kdpE","KdpE-Phosphorylated","kdpE","two-component response regulator KdpE",NA,NA
NA,NA,"wcaI","predicted colanic biosynthesis glycosyl transferase","wbpJ","glycosyl transferase WbpJ","SP_0351","capsular polysaccharide biosynthesis protein Cps4F"
NA,NA,"kptA","enzyme with tRNA 2'-phosphotransferase activity","PA0054","RNA 2'-phosphotransferase-like protein",NA,NA
NA,NA,"kgtP","α-ketoglutarate:","pcaT","dicarboxylic acid transporter PcaT",NA,NA
NA,NA,"secE","","secE","preprotein translocase subunit SecE",NA,NA
NA,NA,"cutC","copper homeostasis protein",NA,NA,"SP_1260","copper homeostasis protein CutC"
NA,NA,"gltA","citrate synthase monomer","gltA","type II citrate synthase",NA,NA
NA,NA,"lpxK","tetraacyldisaccharide 4'-kinase","lpxK","tetraacyldisaccharide 4'-kinase",NA,NA
NA,NA,"arnE","undecaprenyl-phosphate-α-L-Ara4N flippase - ArnE subunit","arnE","",NA,NA
NA,NA,"recB","","recB","exodeoxyribonuclease V subunit beta",NA,NA
NA,NA,"astD","aldehyde dehydrogenase","aruD","succinylglutamic semialdehyde dehydrogenase",NA,NA
NA,NA,"sgcX","KpLE2 phage-like element; predicted endoglucanase with Zn-dependent exopeptidase domain","PA2172","orf",NA,NA
NA,NA,"ybdF","conserved protein",NA,NA,"SP_1259","orf"
NA,NA,"yggR","predicted transporter","pilT","twitching motility protein PilT",NA,NA
NA,NA,"dgoA","2-oxo-3-deoxygalactonate 6-phosphate aldolase",NA,NA,"SP_0317","keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase"
NA,NA,"ldhA","D-lactate dehydrogenase - fermentative","ldhA","D-lactate dehydrogenase",NA,NA
NA,NA,"ubiG","","ubiG","3-demethylubiquinone-9 3-methyltransferase","SP_1743","orf"
NA,NA,"nanE","predicte",NA,NA,"SP_1330","N-acetylmannosamine-6-phosphate 2-epimerase"
NA,NA,"caiA","crotonobetainyl-CoA reductase","PA1631","acyl-CoA dehydrogenase",NA,NA
NA,NA,"yafJ","predicted amidotransferase","PA1307","orf",NA,NA
NA,NA,"phnD","phosphonate ABC transporter - periplasmic binding protein","PA3383","binding protein component of ABC phosphonate transporter",NA,NA
NA,NA,"malX","MalX PTS permease",NA,NA,"SP_1684","PTS system transporter subunit IIBC"
NA,NA,"phnJ","carbon-phosphorous lyase","PA3377","orf",NA,NA
NA,NA,"rihB","ribonucleoside hydrolase 2 (pyrimidine-specific)","nuh","nonspecific ribonucleoside hydrolase",NA,NA
NA,NA,"surA","peptidyl-proly","surA","peptidyl-prolyl cis-trans isomerase SurA",NA,NA
NA,NA,"arnC","undecaprenyl phosphate-L-Ara4FN transferase","arnC","",NA,NA
NA,NA,"paaJ","β-ketoadipyl-CoA thiolase","pcaF","beta-ketoadipyl CoA thiolase",NA,NA
NA,NA,"hyuA","phenylhydantoinase","dht","phenylhydantoinase",NA,NA
NA,NA,"aceK","","aceK","bifunctional isocitrate dehydrogenase kinase/phosphatase protein",NA,NA
NA,NA,"rng","ribonuclease G (RNAse G) monomer","cafA","cytoplasmic axial filament protein",NA,NA
NA,NA,"adhE","",NA,NA,"SP_2026","bifunctional acetaldehyde-CoA/alcohol dehydrogenase"
NA,NA,"ydcR","fused predicted DNA-binding transcriptional regulator and predicted amino transferase","PA4132","orf",NA,NA
NA,NA,"puuC","γ-glutamyl-γ-aminobutyraldehyde dehydrogenase","PA5312","aldehyde dehydrogenase",NA,NA
NA,NA,"yjjV","predicted DNase","PA3564","orf",NA,NA
NA,NA,"grxD","glutaredoxin 4","PA3533","orf",NA,NA
NA,NA,"eutB","ethanolamine ammonia-lyase, α subunit","eutB","ethanolamine ammonia-lyase large subunit",NA,NA
NA,NA,"frmB","",NA,NA,"SP_0614","tributyrin esterase"
NA,NA,"nadR","NadR DNA-binding transcriptional repressor and NMN adenylyltransferase","PA1957","orf",NA,NA
NA,NA,"gltI","glutamate / aspartate ABC transporter - periplasmic binding protein","PA1342","ABC transporter",NA,NA
NA,NA,"yjgM","predicted acetyltransferase","PA4863","orf","SP_0580","acetyltransferase"
NA,NA,"waaP","lipopolysaccharide core heptose (I) kinase","waaP","lipopolysaccharide kinase WaaP",NA,NA
NA,NA,"yegP","predicted protein","PA0329","orf",NA,NA
NA,NA,"waaC","ADP-heptose:LPS heptosyltransferase I","waaC","heptosyltransferase I",NA,NA
NA,NA,"ppa","","ppa","inorganic pyrophosphatase",NA,NA
NA,NA,"ycaN","putative transcriptional regulator LYSR-type","PA1738","transcriptional regulator",NA,NA
NA,NA,"yqjH","ferric reductase, NADPH-dependent","PA2033","orf",NA,NA
NA,NA,"cra","Cra DNA-binding transcriptional dual regulator","fruR","FruR family transcriptional regulator",NA,NA
NA,NA,"yibF","glutathione transferase-like protein possibly involved in selenium metabolism","PA0467","orf",NA,NA
NA,NA,"wzzB","regulator of length of O-antigen component of lipopolysaccharide chains","wzz","O-antigen chain length regulator",NA,NA
NA,NA,"ygcE","predicted kinase","PA3024","carbohydrate kinase",NA,NA
NA,NA,"mlaE","","PA4455","ABC transporter permease",NA,NA
NA,NA,"rclA","predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain; hypochlorite stress response",NA,NA,"SP_1588","pyridine nucleotide-disulfide oxidoreductase"
NA,NA,"dinF","DinF MATE Transporter","PA4821","transporter","SP_1939","MATE efflux family protein DinF"
NA,NA,"rsmF","16S rRNA ",NA,NA,"SP_1402","NOL1/NOP2/sun family protein"
NA,NA,"yfaV","predicted transporter","PA2214","major facilitator superfamily (MFS) transporter",NA,NA
NA,NA,"narW","NarW, probable private chaperone for NarZ nitrate reductase subunit","narJ","respiratory nitrate reductase subunit delta",NA,NA
NA,NA,"yciV","conserved protein","PA3200","orf",NA,NA
NA,NA,"aroE","shikimate dehydrogenase","aroE","shikimate 5-dehydrogenase",NA,NA
NA,NA,"ygeR","putative lipoprotein; predicted DNA-binding transcriptional regulator",NA,NA,"SP_0107","LysM domain-containing protein"
NA,NA,"yfcD","predicted Nudix hydrolase","PA4841","orf",NA,NA
NA,NA,"sfmF","predicted fimbrial-like adhesin protein","PA5284","orf",NA,NA
NA,NA,"bfr","bacterioferritin monomer","bfrB","bacterioferritin",NA,NA
NA,NA,"yceH","conserved protein","PA3453","orf",NA,NA
NA,NA,"xdhD","fused predicted xanthine/hypoxanthine oxidase: molybdopterin-binding subunit and Fe-S binding subunit","xdhB","xanthine dehydrogenase",NA,NA
NA,NA,"bamE","Outer Membrane Protein Assembly Complex - BamE subunit","omlA","Outer membrane lipoprotein OmlA precursor",NA,NA
NA,NA,"yhbT","predicted lipid carrier protein","PA3911","orf",NA,NA
NA,NA,"alsA","D-allose ABC transporter - ATP binding subunit","rbsA","ribose transporter RbsA",NA,NA
NA,NA,"intR","Rac prophage; predicted integrase",NA,NA,"SP_1129","phage integrase family integrase/recombinase"
NA,NA,"aqpZ","","aqpZ","aquaporin Z","SP_1778","aquaporin"
NA,NA,"soxR","SoxR DNA-binding transcriptional dual regulator","soxR","",NA,NA
NA,NA,"thrC","threonine synthase","thrC","threonine synthase","SP_2066","threonine synthase"
NA,NA,"yehU","YehU-phosphate sensory histidine kinase in two-component system with YehT","algZ","alginate biosynthesis protein AlgZ/FimS","SP_0662","sensor histidine kinase"
NA,NA,"glnQ","glutamine ABC transporter - ATP binding subunit",NA,NA,"SP_0824","amino acid ABC transporter ATP-binding protein"
NA,NA,"inaA","pH-inducible protein involved in stress response","inaA","InaA protein",NA,NA
NA,NA,"cysZ","predicted inner membrane protein","PA0846","sulfate transporter CysZ",NA,NA
NA,NA,"yfdC","predicted inner membrane protein","PA2777","orf",NA,NA
NA,NA,"envZ","Modified EnvZ","amgS","",NA,NA
NA,NA,"zraS","ZraS sensory histidine kinase - phosphorylated","cbrA","two-component sensor CbrA",NA,NA
NA,NA,"fabB","","fabB","3-oxoacyl-(acyl carrier protein) synthase I",NA,NA
NA,NA,"pdxA","","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase",NA,NA
NA,NA,"rdgC","nucleoid-associated protein RdgC","PA3263","recombination associated protein",NA,NA
NA,NA,"pepN","aminopeptidase N","pepN","aminopeptidase N","SP_0797","aminopeptidase"
NA,NA,"yacG","DNA gyrase inhibitor YacG","PA4530","zinc-binding protein",NA,NA
NA,NA,"greB","transcription elongation factor GreB","greB","transcription elongation factor GreB",NA,NA
NA,NA,"phoQ","PhoQ sensory histidine kinase - phosphorylated","phoQ","two-component sensor PhoQ",NA,NA
NA,NA,"gcl","","gcl","glyoxylate carboligase",NA,NA
NA,NA,"ulaF","L-ribulose 5-phosphate 4-epimerase","PA1683","methylthioribulose-1-phosphate dehydratase",NA,NA
NA,NA,"yejK","nucleoid-associated protein","PA3849","nucleoid-associated protein NdpA",NA,NA
NA,NA,"yraN","conserved protein","PA4424","orf",NA,NA
NA,NA,"yigB","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase","PA5281","hydrolase",NA,NA
NA,NA,"osmE","osmotically inducible protein OsmE","osmE","OsmE family transcriptional regulator",NA,NA
NA,NA,"rhtC","RhtC threonine Rht Transporter","PA2929","orf",NA,NA
NA,NA,"mtr","tryptohan / indole:H+ symporter Mtr","mtr","tryptophan permease",NA,NA
NA,NA,"opgG","periplasmic protein associated with synthesis of osmoregulated periplasmic glucans (OPGs)","PA5078","glucan biosynthesis protein G",NA,NA
NA,NA,"pka","peptidyl-lysine acetyltransferase","pauA","pimeloyl-CoA synthetase",NA,NA
NA,NA,"yjiJ","predicted inner membrane protein","PA1412","orf",NA,NA
NA,NA,"waaJ","UDP-glucose:(glucosyl)LPS α-1,2-glucosyltransferase",NA,NA,"SP_1765","glycosyl transferase family protein"
NA,NA,"shiA","shikimate:","PA3595","major facilitator superfamily (MFS) transporter",NA,NA
NA,NA,"ycgN","conserved protein","PA1299","orf",NA,NA
NA,NA,"fumA","fumarase A monomer","PA4333","fumarase",NA,NA
NA,NA,"astA","arginine succinyltransferase","aruG","arginine/ornithine succinyltransferase AII subunit",NA,NA
NA,NA,"sbp","sulfate / thiosulfate ABC transporter - periplasmic binding protein Sbp","sbp","sulfate-binding protein precursor",NA,NA
NA,NA,"nuoI","NADH:ubiquinone oxidoreductase, chain I","nuoI","NADH dehydrogenase subunit I",NA,NA
NA,NA,"gltK","glutamate / aspartate ABC transporter - membrane subunit","PA1340","amino acid ABC transporter membrane protein",NA,NA
NA,NA,"yedE","predicted inner membrane protein","PA3631","inner membrane protein",NA,NA
NA,NA,"aidB","","PA3972","acyl-CoA dehydrogenase",NA,NA
NA,NA,"yafK","conserved protein","PA3756","orf",NA,NA
NA,NA,"yfdE","acetyl-CoA:oxalate CoA-transferase","PA3592","orf",NA,NA
NA,NA,"ybaQ","predicted DNA-binding transcriptional regulator","PA4674","orf",NA,NA
NA,NA,"agaD","",NA,NA,"SP_0325","PTS system transporter subunit IID"
NA,NA,"mltD","membrane-bound lytic murein transglycosylase D","mltD","membrane-bound lytic murein transglycosylase D precursor",NA,NA
NA,NA,"rbsR","RbsR DNA-binding transcriptional dual regulator","rbsR","ribose operon repressor RbsR","SP_1725","sucrose operon repressor"
NA,NA,"hscA","chaperone for [Fe-S] cluster biosynthesis","hscA","chaperone protein HscA",NA,NA
NA,NA,"yegE","predicted diguanylate cyclase","PA1181","sensor protein",NA,NA
NA,NA,"arnA","fused UDP-L-Ara4N formyltransferase and UDP-GlcA C-4''-decarboxylase","arnA","bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase",NA,NA
NA,NA,"yciH","translation initiation factor","PA4840","translation initiation factor Sui1",NA,NA
NA,NA,"ybcI","conserved inner membrane protein","PA4962","orf",NA,NA
NA,NA,"yqeA","predicted amino acid kinase",NA,NA,"SP_2151","carbamate kinase"
NA,NA,"yidK","YidK SSS transporter",NA,NA,"SP_1328","sodium:solute symporter family protein"
NA,NA,"yqcC","conserved protein","PA4698","orf",NA,NA
NA,NA,"pgpA","phosphatidylglycerophosphatase A","pgpA","phosphatidylglycerophosphatase A",NA,NA
NA,NA,"htrE","putative outer membrane usher protein","cupB3","usher CupB3",NA,NA
NA,NA,"cca","fused tRNA nucleotidyltransferase / 2',3'-cyclic phosphodiesterase / 2' nucleotidase and phosphatase","cca","multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase",NA,NA
NA,NA,"yeaO","conserved protein","PA1065","orf",NA,NA
NA,NA,"pbpG","penicillin-binding protein 7","pbpG","D-alanyl-D-alanine endopeptidase",NA,NA
NA,NA,"malK","maltose ABC transporter - ATP binding subunit","PA2341","ATP-binding component of ABC maltose/mannitol transporter",NA,NA
NA,NA,"ybgF","predicted periplasmic protein","PA0974","orf",NA,NA
NA,NA,"fdoH","formate dehydrogenase-O, β subunit","fdnH","nitrate-inducible formate dehydrogenase subunit beta",NA,NA
NA,NA,"ycaO","protein involved in β-methylthiolation of ribosomal protein S12","PA1926","orf",NA,NA
NA,NA,"fecR","regulator for fec operon, periplasmic","PA3900","transmembrane sensor",NA,NA
NA,NA,"ybiV","sugar phosphatase",NA,NA,"SP_1451","Cof family protein"
NA,NA,"yjdC","predicted transcriptional regulator","PA3034","transcriptional regulator",NA,NA
NA,NA,"hcaE","3-phenylpropionate dioxygenase, α subunit","xylX","toluate 1,2-dioxygenase subunit alpha",NA,NA
NA,NA,"glcB","malate synthase G","glcB","malate synthase G",NA,NA
NA,NA,"lipB","lipoyl(octanoyl) transferase","lipB","lipoate-protein ligase B",NA,NA
NA,NA,"ykgO","predicted ribosomal protein","PA3600","50S ribosomal protein L36",NA,NA
NA,NA,"yijF","conserved protein","PA1573","orf",NA,NA
NA,NA,"pntB","pyridine nucleotide transhydrogenase, β subunit","pntB","pyridine nucleotide transhydrogenase subunit beta",NA,NA
NA,NA,"cynX","cyanate transporter","PA2500","major facilitator superfamily (MFS) transporter",NA,NA
NA,NA,"yhhL","conserved inner membrane protein","PA1042","orf",NA,NA
NA,NA,"ykgN","predicted IS protein","PA0983","orf",NA,NA
NA,NA,"blc","Blc outer membrane lipoprotein (lipocalin)","blc","outer membrane lipoprotein Blc",NA,NA
NA,NA,"potB","putrescine / spermidine ABC transporter - membrane subunit","potB","polyamine transporter PotB",NA,NA
NA,NA,"mglC","galactose ABC transporter - membrane subunit",NA,NA,"SP_0847","sugar ABC transporter permease"
NA,NA,"glxK","glycerate kinase II",NA,NA,"SP_1126","orf"
NA,NA,"napB","subunit of periplasmic nitrate reductase, cytochrome ","napB","cytochrome C protein NapB precursor",NA,NA
NA,NA,"potI","putrescine ABC transporter - membrane subunit","spuH","polyamine transporter PotI",NA,NA
NA,NA,"tatD","DNase, magnesium-dependent","mttC","secretion protein MttC",NA,NA
NA,NA,"marC","predicted transporter","PA5205","multiple drug resistance protein MarC",NA,NA
NA,NA,"xerC","site-specific tyrosine recombinase","sss","site-specific tyrosine recombinase XerC","SP_0890","phage integrase family integrase/recombinase"
NA,NA,"yhbU","predicted peptidase (collagenase-like)","PA3913","protease",NA,NA
NA,NA,"hypB","accessory protein for nickel incorporation into hydrogenase isoenzymes","ureG","urease accessory protein UreG",NA,NA
NA,NA,"yjgH","predicted mRNA endoribonuclease","PA4173","orf",NA,NA
NA,NA,"feoB","F","PA4358","ferrous iron transporter B",NA,NA
NA,NA,"ppdD","prepilin peptidase dependent protein","pilE","type 4 fimbrial biogenesis protein PilE",NA,NA
NA,NA,"ygdH","conserved protein","PA4115","orf",NA,NA
NA,NA,"waaA","KDO transferase","waaA","3-deoxy-D-manno-octulosonic-acid transferase",NA,NA
NA,NA,"gcd","quinoprotein glucose dehydrogenase","gcd","glucose dehydrogenase",NA,NA
NA,NA,"selB","selenocysteyl-tRNA-specific translation elongation factor","selB","selenocysteine-specific elongation factor",NA,NA
NA,NA,"glcG","conserved protein","PA5352","orf",NA,NA
NA,NA,"lsrC","Autoinducer-2 ABC transporter - membrane subunit",NA,NA,"SP_1070","orf"
NA,NA,"gatA","galactitol PTS permease - GatA subunit",NA,NA,"SP_0645","PTS system transporter subunit IIA"
NA,NA,"allA","ureidoglycolate lyase","PA1514","ureidoglycolate hydrolase",NA,NA
NA,NA,"holA","DNA polymerase III, δ subunit","holA","DNA polymerase III subunit delta",NA,NA
NA,NA,"nrdD","ribonucleoside-triphosphate reductase","nrdD","anaerobic ribonucleoside triphosphate reductase","SP_0202","anaerobic ribonucleoside triphosphate reductase"
NA,NA,"gspK","putative protein secretion protein for export","xcpX","general secretion pathway protein K",NA,NA
NA,NA,"yjiS","conserved protein","PA2845","orf",NA,NA
NA,NA,"napD","signal peptide-binding chaperone for NapA","napD","NapD protein of periplasmic nitrate reductase",NA,NA
NA,NA,"rep","","rep","ATP-dependent DNA helicase Rep",NA,NA
NA,NA,"parC","topoisomerase IV subunit A","parC","DNA topoisomerase IV subunit A",NA,NA
NA,NA,"rutF","flavin reductase","hpaC","4-hydroxyphenylacetate 3-monooxygenase small chain",NA,NA
NA,NA,"yraP","lipoprotein","PA4426","orf",NA,NA
NA,NA,"ybjI","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase",NA,NA,"SP_1246","Cof family protein"
NA,NA,"kefF","regulator of KefC-mediated potassium transport and quinone oxidoreductase","PA1224","NAD(P)H dehydrogenase",NA,NA
NA,NA,"adeP","adenine:","PA4719","transporter",NA,NA
NA,NA,"wbbK","predicted lipopolysaccharide biosynthesis protein","wbpX","glycosyltransferase WbpX",NA,NA
NA,NA,"ymdB","","PA3693","orf",NA,NA
NA,NA,"phnH","PhnH subunit of methylphosphonate degradation complex","PA3379","carbon-phosphorus lyase complex subunit",NA,NA
NA,NA,"yqiA","esterase","PA4968","orf",NA,NA
NA,NA,"phnM","RPnTP hydrolase","PA3374","orf",NA,NA
NA,NA,"norW","flavorubredoxin reductase","PA5349","rubredoxin reductase","SP_1469","NADH oxidase"
NA,NA,"ykgJ","predicted ferredoxin","PA3209","orf",NA,NA
NA,NA,"yejB","peptide ABC transporter - membrane subunit","PA1809","ABC transporter permease",NA,NA
NA,NA,"dsbG","Dsb","dsbG","disulfide isomerase/thiol-disulfide oxidase",NA,NA
NA,NA,"tufA","elongation factor Tu","tufA","elongation factor Tu",NA,NA
NA,NA,"evgA","EvgA-Phosphorylated DNA-binding transcriptional activator","PA3045","two-component response regulator",NA,NA
NA,NA,"yheV","predicted protein","PA0068","orf",NA,NA
NA,NA,"mrdB","rod shape-determining membrane protein; sensitivity to radiation and drugs","rodA","rod shape-determining protein","SP_0803","rod shape-determining protein RodA"
NA,NA,"amn","","amn","AMP nucleosidase",NA,NA
NA,NA,"arfA","ribosome rescue factor","PA3990","orf",NA,NA
